resource,object,code,fund,goal,function,Bayshore Elementary (68858),Belmont-Redwood Shores Elementary (68866),Brisbane Elementary (68874),Burlingame Elementary (68882),Cabrillo Unified (68890),Hillsborough City Elementary (68908),Jefferson Elementary (68916),Pacifica Elementary (68932),La Honda-Pescadero Unified (68940),Las Lomitas Elementary (68957),Menlo Park City Elementary (68965),Millbrae Elementary (68973),Portola Valley Elementary (68981),Ravenswood City Elementary (68999),Redwood City Elementary (69005),San Bruno Park Elementary (69013),San Carlos Elementary (69021),San Mateo-Foster City Elementary (69039),South San Francisco Unified (69070),Woodside Elementary (69088),Alum Rock Union Elementary (69369),Berryessa Union Elementary (69377),Cambrian Elementary (69385),Campbell Union Elementary (69393),Cupertino Union Elementary (69419),Evergreen Elementary (69435),Franklin-McKinley Elementary (69450),Gilroy Unified (69484),Lakeside Joint Elementary (69492),Loma Prieta Joint Union Elementary (69500),Los Altos Elementary (69518),Los Gatos Union Elementary (69526),Luther Burbank Elementary (69542),Moreland Elementary (69575),Morgan Hill Unified (69583),Mountain View Whisman Elementary (69591),Mount Pleasant Elementary (69617),Oak Grove Elementary (69625),Orchard Elementary (69633),Palo Alto Unified (69641),San Jose Unified (69666),Santa Clara Unified (69674),Saratoga Union Elementary (69682),Sunnyvale Elementary (69690),Union Elementary (69708),Milpitas Unified (73387)
"Department of Rehab: Workability II, Transition Partnership",All Other Federal Revenue,8290,General Fund/County School Service Fund,Special Education-Unspecified,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109655.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42983.95,0.0,0.0,0.0,0.0,0.0,0.0,235326.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Department of Rehab: Workability II, Transition Partnership",All Other Federal Revenue,8290,General Fund/County School Service Fund,"Special Education, Ages 5-22",Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97137.08,0.0,0.0,0.0,0.0
"ESSA: Title I, Part A, Basic Grants Low-Income and Neglected",All Other Federal Revenue,8290,General Fund/County School Service Fund,"Regular Education, K-12",Instruction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83859.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elementary and Secondary School Emergency Relief II (ESSER II) Fund,All Other Federal Revenue,8290,General Fund/County School Service Fund,"Regular Education, K-12",Instruction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365565.71,0.0,0.0
"Department of Rehab: Workability II, Transition Partnership",All Other Federal Revenue,8290,General Fund/County School Service Fund,"Regular Education, K-12",Instruction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415908,0.0,0.0,0.0,0.0,0.0,0.0
"ESSA: Title II, Part A, Supporting Effective Instruction",All Other Federal Revenue,8290,General Fund/County School Service Fund,"Regular Education, K-12",Instruction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71512.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ESSA: Title IV, Part A, Student Support and Academic Enrichment Grants",All Other Federal Revenue,8290,General Fund/County School Service Fund,"Regular Education, K-12",Instruction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34026.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ESSA: Title III, English Learner Student Program",All Other Federal Revenue,8290,General Fund/County School Service Fund,"Regular Education, K-12",Instruction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83791.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Restricted Federal,All Other Federal Revenue,8290,General Fund/County School Service Fund,"Regular Education, K-12",Instruction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56274.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Special Education,Other State Apportionments - Current Year,8311,General Fund/County School Service Fund,Special Education-Unspecified,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,5230.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2399666.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Special Education,Other State Apportionments - Prior Years,8319,General Fund/County School Service Fund,Special Education-Unspecified,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2652,0.0,46319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Child Nutrition: Kitchen Infrastructure Upgrade Funds,Child Nutrition,8520,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Child Nutrition: Kitchen Infrastructure and Training Funds - 2022 KIT Funds,Child Nutrition,8520,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),159379,220621,100000,262652,143384,0.0,284328,0.0,130347,100000,0.0,212888,105142,0.0,1191495,201859,118997,441225,358504,0.0,0.0,382046,478665,382413,0.0,399660,0.0,1715794,0.0,0.0,0.0,369062,212103,0.0,0.0,815802,197163,1085528,0.0,0.0,0.0,0.0,251775,667313,0.0,1094573
Child Nutrition: Kitchen Infrastructure and Training Funds - 2022 KIT Funds,Child Nutrition,8520,General Fund/County School Service Fund,Undistributed,Food Services,0.0,0.0,0.0,0.0,0.0,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619528,0.0,0.0,0.0,1516855,0.0,926179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,838233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unrestricted,Mandated Cost Reimbursements,8550,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),11693,194425.8,14855,110589,122751,42356,167331,91370,10737,36196,91418,70859,16223,46181,206579,68998,89292,336553,332202,11980,260776,204708,67126,113232,473998,307511,194552,448561,2228,14384,114565,87324,13832,133124,340819,148521,48947,283757,24349,458138,1084372,586414,54818,155633,184869,434603
Lottery: Unrestricted,State Lottery Revenue,8560,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),70209.59,806521.76,94621.22,690831.14,519709.36,273306.69,1108218.13,0.0,47916.46,219251.45,558667.13,469702.87,96343.27,213658.87,1197520.14,391494.97,521157.24,1951614.7,1598328.12,75695.87,1551223.9,1079579.32,662959.11,1366766.97,3352998.72,1740625.19,1291422,2216938.61,13331.25,80802.6,553961.29,544121.01,75026.84,744093.13,1616721.66,976256.51,358440.13,1681711.97,138326.35,2049008.67,5371992.53,2726213.18,361950.68,1000137.86,1135686.28,2053860.74
Lottery:  Instructional Materials,State Lottery Revenue,8560,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),35274.57,404523.85,60696.33,345880.7,261648.59,136456.5,552312.22,0.0,24182.2,110107.36,279005.4,234095.5,48443.71,122927.31,603047.13,197457.6,262232.66,982666.33,800569.07,37846.42,831995.35,544862.96,385790.32,681207.96,1966501.88,857155.6,730461.42,1114207.48,6968.98,40729.32,245768.02,275991.59,40527.28,376221.75,782329.41,542644.65,180257.8,868259.77,101475,1053978.48,2677490.35,1369025.41,181027.42,505288.81,570913.92,1057152.36
Lottery: Unrestricted,State Lottery Revenue,8560,General Fund/County School Service Fund,"Regular Education, K-12",Instruction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533991.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lottery:  Instructional Materials,State Lottery Revenue,8560,General Fund/County School Service Fund,"Regular Education, K-12",Instruction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268623.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Special Ed: Dispute Prevention and Dispute Resolution,Pass-Through Revenues from State Sources,8587,General Fund/County School Service Fund,Special Education-Unspecified,Not Applicable (For use with revenues and balance sheet transactions only),0.0,44138.79,0.0,0.0,0.0,0.0,66904.07,0.0,0.0,15408.81,0.0,21771.16,0.0,38671.15,0.0,0.0,0.0,0.0,124065.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Special Ed: Learning Recovery Support,Pass-Through Revenues from State Sources,8587,General Fund/County School Service Fund,Special Education-Unspecified,Not Applicable (For use with revenues and balance sheet transactions only),0.0,185578.29,0.0,28332,0.0,0.0,301068.46,0.0,0.0,69339.69,0.0,97970.27,0.0,174020.25,539954.86,0.0,0.0,0.0,367275.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Special Ed: Dispute Prevention and Dispute Resolution,Pass-Through Revenues from State Sources,8587,General Fund/County School Service Fund,Nonagency-Educational,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,34992.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Special Ed: Learning Recovery Support,Pass-Through Revenues from State Sources,8587,General Fund/County School Service Fund,Nonagency-Educational,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,157468.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unrestricted,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),786.5,19156,53968,114470.25,5918.5,81012.56,709447.5,10948,416,4687.1,4824.5,53948.5,121406,305634,564232.5,109991.56,204956,2076080.14,903058.5,90090.5,300776,545599.5,3296441.65,7531608.42,689090,350249.09,674873.5,551219,58,1994.01,92256.5,10586.5,27180.14,131118.7,74882.38,173464,1485314.38,551692.86,1923,1772856.82,3342620.5,2677164.96,8621.42,208570.24,245980,285028.1
Expanded Learning Opportunities Program,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),347505,949832,208832,1078616,1054457,72995,4829249,0.0,159444,189289,551007,1155889,67486,2578456,5534155,1443457,456762,6085808,3639665,69408,12155587.88,4196950,964106,0.0,4453742,5657156,9104951,5520063,50000,50052,688218,327257,699336,2383632,3141570,2473601,2310138,5526746,819833.72,1581634,10725198,6483307,190310,0.0,1597772,4376296
After School Education and Safety (ASES),All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,152612.12,0.0,1608699.84,0.0,197394.6,0.0,0.0,153126.25,0.0,975753.07,1620570.02,300291.17,0.0,416409,0.0,0.0,3874207.63,130250,0.0,917320.99,0.0,354439.61,2423532.27,1207459.21,0.0,0.0,0.0,0.0,249266,153900,336143.64,709625.87,974300.84,997065,0.0,0.0,2932418.83,1794237.5,0.0,776514.98,0.0,379161.43
Child Dev: Universal Prekindergarten (UPK) Planning and Implementation Grant Program - Universal Prekindergarten Planning Grants,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,124474.52,0.0,5609.86,0.0,176506.55,144967.02,173908,0.0,70981,253380.04,59574.53,97113,0.0,44258,8241.48,14345.71,0.0,34508.13,0.0,0.0,218826.56,64765.79,126272.23,66640.83,102983.69,0.0,22509.16,0.0,0.0,279756,226017.96,10694.17,11758.99,95693.31,0.0,184394.22,171975.9,117765,86579.07,973158.17,123919.78,156250.03,0.0,18527.85,172875.31
Child Dev: Universal Prekindergarten (UPK) Planning & Implementation Grant Program - Early Education Teacher Development Grant,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,4228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28326.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23994.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inclusive Early Education Expansion Grant,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,50254.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Literacy Coaches and Reading Specialists Grant Program,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Educator Effectiveness, FY 2021-22",All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,148117,0.0,85916,0.0,0.0,24247,0.0,0.0,0.0,0.0,121273,331506,0.0,0.0,0.0,0.0,32072,-79601,277788,118407,44190,0.0,362346,0.0,0.0,0.0,25361,198872,112716,0.0,196839,0.0,0.0,85867,0.0,50347.88,703398,1226346,0.0,0.0,312116,0.0,424862
National Board for Professional Teaching Standards Certification Incentive Program,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,5000,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000,0.0,0.0,25000,20000,0.0,10000,0.0,0.0
Antibias Education Grant,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000,100000,0.0,0.0,0.0,0.0,0.0,200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000
CA Community Schools Partnership Act - Planning Grant,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000,0.0,0.0,200000,180000,0.0,0.0,0.0,200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000,0.0,180000,0.0,0.0,0.0,180000,200000,0.0,180000,0.0,180000
CA Community Schools Partnership Act - Implementation Grant,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,945000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Career Technical Education Incentive Grant Program,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,167580.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268549.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725402.09,0.0,0.0,0.0,0.0,0.0,0.0,496834.44,0.0,0.0,0.0,0.0,274966.48,0.0,934384,0.0,0.0,0.0,168380.94
Strong Workforce Program,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,102293.01,226.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273459.91,139694.32,0.0,0.0,406024.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314971.49,0.0,0.0,0.0,0.0,0.0,252646.25
Mental Health-Related Services,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,93354.2,0.0,0.0,0.0,0.0,268623.45,0.0,0.0,0.0,0.0,0.0,0.0,371952.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412809,0.0
Special Education Early Intervention Preschool Grant,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,80156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18497,123316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522956,0.0,0.0,0.0,0.0,0.0
Tobacco-Use Prevention Education: Discretionary District Grants,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21502
Tobacco-Use Prevention Education: Grades Six Through Twelve,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,1075,1043.19,0.0,3000,0.0,0.0,0.0,0.0,1000,4788.45,27.29,0.0,702.62,131.9,1108.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22399,6277.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6340.37,0.0,0.0
Tobacco Use Prevention Education (Prop.56): Local Assistance,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,81040.29,0.0,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243711.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15548.81,0.0,0.0,0.0,0.0,25822,0.0,0.0,0.0,0.0,0.0,0.0
"Arts, Music, and Instructional Materials Discretionary Block Grant",All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),215107.18,2382186.83,273280.77,1054099,1629919,403729,1594949,0.0,80819,651373,1681745.56,1303530.68,298400,440187,3798264,1242213,1600084,6191296.22,4691299,114192,4667362,3765842.05,945296,3755777,4518014,5657038,502249,6039536,21238,137109,1091999,832349,131840,1268899,4716514.7,1415662,529218,5220056,447935,3240880,7845231,8385376,986505,1483445,3400887,3199580
Agricultural Career Technical Education Incentive,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,13330.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11106.92,0.0,0.0,0.0,0.0,0.0,0.0,28540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Learning Communities for School Success Program,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000,0.0,0.0,0.0,0.0,0.0
Partnership Academies Program,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275761.09
A-G Access/Success Grant,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69983,264520,0.0,0.0,0.0,0.0,86687
A-G Learning Loss Mitigation Grant,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10399,99167,0.0,0.0,0.0,0.0,32499
Classified School Employee Summer Assistance Program,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40889.22,0.0,0.0,0.0,0.0,0.0,0.0,155766,199163,0.0,0.0,0.0,68157.28,182859.82,0.0,10165,0.0,0.0,0.0,36945,0.0,0.0,190674,111355,0.0,0.0,0.75,0.0,550599,0.0,0.0,0.0,206486.22
In-Person Instruction (IPI) Grant,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),7042.15,29579.23,59441.51,0.0,403329.29,25550.1,0.0,0.0,0.0,0.0,0.0,162351.34,37729.25,21325.88,0.0,0.0,318586.06,0.0,0.0,20743.84,909869.4,0.0,0.0,133436.91,1306.98,1152547.62,0.0,0.0,7638.75,0.0,175492.23,445167.76,44409.13,354450.75,0.0,30745.07,32524.3,629057.21,0.0,0.0,0.0,0.0,0.0,389675,29825.26,0.0
Expanded Learning Opportunities (ELO) Grant,All Other State Revenue,8590,General Fund/County School Service Fund,Undistributed,Not Applicable (For use with revenues and balance sheet transactions only),0.0,0.0,0.0,-101138,0.0,0.0,0.0,0.0,0.0,-8830.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
